Entity,Code,Year,Continent,Date,confirmed,"Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned) Annotations",tests,new_tests_7day_smoothed Annotations
Abkhazia,OWID_ABK,2015,Asia,,,,,
Afghanistan,AFG,2015,Asia,,,,,
Afghanistan,AFG,,,2020-01-02,0,,,
Afghanistan,AFG,,,2020-01-03,0,,,
Afghanistan,AFG,,,2020-01-04,0,,,
Afghanistan,AFG,,,2020-01-05,0,,,
Afghanistan,AFG,,,2020-01-06,0,,,
Afghanistan,AFG,,,2020-01-07,0,,,
Afghanistan,AFG,,,2020-01-08,0,,,
Afghanistan,AFG,,,2020-01-09,0,,,
Afghanistan,AFG,,,2020-01-10,0,,,
Afghanistan,AFG,,,2020-01-11,0,,,
Afghanistan,AFG,,,2020-01-12,0,,,
Afghanistan,AFG,,,2020-01-13,0,,,
Afghanistan,AFG,,,2020-01-14,0,,,
Afghanistan,AFG,,,2020-01-15,0,,,
Afghanistan,AFG,,,2020-01-16,0,,,
Afghanistan,AFG,,,2020-01-17,0,,,
Afghanistan,AFG,,,2020-01-18,0,,,
Afghanistan,AFG,,,2020-01-19,0,,,
Afghanistan,AFG,,,2020-01-20,0,,,
Afghanistan,AFG,,,2020-01-21,0,,,
Afghanistan,AFG,,,2020-01-22,0,,,
Afghanistan,AFG,,,2020-01-23,0,,,
Afghanistan,AFG,,,2020-01-24,0,,,
Afghanistan,AFG,,,2020-01-25,0,,,
Afghanistan,AFG,,,2020-01-26,0,,,
Afghanistan,AFG,,,2020-01-27,0,,,
Afghanistan,AFG,,,2020-01-28,0,,,
Afghanistan,AFG,,,2020-01-29,0,,,
Afghanistan,AFG,,,2020-01-30,0,,,
Afghanistan,AFG,,,2020-01-31,0,,,
Afghanistan,AFG,,,2020-02-01,0,,,
Afghanistan,AFG,,,2020-02-02,0,,,
Afghanistan,AFG,,,2020-02-03,0,,,
Afghanistan,AFG,,,2020-02-04,0,,,
Afghanistan,AFG,,,2020-02-05,0,,,
Afghanistan,AFG,,,2020-02-06,0,,,
Afghanistan,AFG,,,2020-02-07,0,,,
Afghanistan,AFG,,,2020-02-08,0,,,
Afghanistan,AFG,,,2020-02-09,0,,,
Afghanistan,AFG,,,2020-02-10,0,,,
Afghanistan,AFG,,,2020-02-11,0,,,
Afghanistan,AFG,,,2020-02-12,0,,,
Afghanistan,AFG,,,2020-02-13,0,,,
Afghanistan,AFG,,,2020-02-14,0,,,
Afghanistan,AFG,,,2020-02-15,0,,,
Afghanistan,AFG,,,2020-02-16,0,,,
Afghanistan,AFG,,,2020-02-17,0,,,
Afghanistan,AFG,,,2020-02-18,0,,,
Afghanistan,AFG,,,2020-02-19,0,,,
Afghanistan,AFG,,,2020-02-20,0,,,
Afghanistan,AFG,,,2020-02-21,0,,,
Afghanistan,AFG,,,2020-02-22,0,,,
Afghanistan,AFG,,,2020-02-23,0,,,
Afghanistan,AFG,,,2020-02-24,0,,,
Afghanistan,AFG,,,2020-02-25,0.14286,,,
Afghanistan,AFG,,,2020-02-26,0.14286,,,
Afghanistan,AFG,,,2020-02-27,0.14286,,,
Afghanistan,AFG,,,2020-02-28,0.14286,,,
Afghanistan,AFG,,,2020-02-29,0.14286,,,
Afghanistan,AFG,,,2020-03-01,0.14286,,,
Afghanistan,AFG,,,2020-03-02,0.14286,,,
Afghanistan,AFG,,,2020-03-03,0,,,
Afghanistan,AFG,,,2020-03-04,0,,,
Afghanistan,AFG,,,2020-03-05,0,,,
Afghanistan,AFG,,,2020-03-06,0,,,
Afghanistan,AFG,,,2020-03-16,4,,,
Afghanistan,AFG,,,2020-03-17,4.25,,,
Afghanistan,AFG,,,2020-03-18,3.75,,,
Afghanistan,AFG,,,2020-03-19,3,,,
Afghanistan,AFG,,,2020-03-20,2.5,,,
Afghanistan,AFG,,,2020-03-21,2.42857,,,
Afghanistan,AFG,,,2020-03-22,2,,,
Afghanistan,AFG,,,2020-03-23,2.57143,,,
Afghanistan,AFG,,,2020-03-24,2.71429,,,
Afghanistan,AFG,,,2020-03-25,2.85714,,,
Afghanistan,AFG,,,2020-03-26,7.57143,,,
Afghanistan,AFG,,,2020-03-27,7.57143,,,
Afghanistan,AFG,,,2020-03-28,9.57143,,,
Afghanistan,AFG,,,2020-03-29,11.71429,,,
Afghanistan,AFG,,,2020-03-30,11.42857,,,
Afghanistan,AFG,,,2020-03-31,14.42857,,,
Afghanistan,AFG,,,2020-04-01,17.71429,,,
Afghanistan,AFG,,,2020-04-02,16.71429,,,
Afghanistan,AFG,,,2020-04-03,22.85714,,,
Afghanistan,AFG,,,2020-04-04,20.57143,,,
Afghanistan,AFG,,,2020-04-05,23.42857,,,
Afghanistan,AFG,,,2020-04-06,26.42857,,,
Afghanistan,AFG,,,2020-04-07,28,,,
Afghanistan,AFG,,,2020-04-08,28.71429,,,
Afghanistan,AFG,,,2020-04-09,33,,,
Afghanistan,AFG,,,2020-04-10,35.57143,,,
Afghanistan,AFG,,,2020-04-11,40.85714,,,
Afghanistan,AFG,,,2020-04-12,40.71429,,,
Afghanistan,AFG,,,2020-04-13,44,,,
Afghanistan,AFG,,,2020-04-14,46.85714,,,
Afghanistan,AFG,,,2020-04-15,49.57143,,,
Afghanistan,AFG,,,2020-04-16,51.57143,,,
Afghanistan,AFG,,,2020-04-17,44.28571,,,
Afghanistan,AFG,,,2020-04-18,46.28571,,,
Afghanistan,AFG,,,2020-04-19,50.42857,,,
Afghanistan,AFG,,,2020-04-20,55.57143,,,
Afghanistan,AFG,,,2020-04-21,52.28571,,,
Afghanistan,AFG,,,2020-04-22,54,,,
Afghanistan,AFG,,,2020-04-23,56,,,
Afghanistan,AFG,,,2020-04-24,69.57143,,,
Afghanistan,AFG,,,2020-04-25,72.28571,,,
Afghanistan,AFG,,,2020-04-26,79.28571,,,
Afghanistan,AFG,,,2020-04-27,76.42857,,,
Afghanistan,AFG,,,2020-04-28,96,,,
Afghanistan,AFG,,,2020-04-29,105,,,
Afghanistan,AFG,,,2020-04-30,110.42857,,,
Afghanistan,AFG,,,2020-05-01,127.14286,,,
Afghanistan,AFG,,,2020-05-02,140.57143,,,
Afghanistan,AFG,,,2020-05-03,143.71429,,,
Afghanistan,AFG,,,2020-05-04,167.57143,,,
Afghanistan,AFG,,,2020-05-05,170.14286,,,
Afghanistan,AFG,,,2020-05-06,199.57143,,,
Afghanistan,AFG,,,2020-05-07,206.14286,,,
Afghanistan,AFG,,,2020-05-08,198.85714,,,
Afghanistan,AFG,,,2020-05-09,206.14286,,,
Afghanistan,AFG,,,2020-05-10,223.42857,,,
Afghanistan,AFG,,,2020-05-11,242.57143,,,
Afghanistan,AFG,,,2020-05-12,256.14286,,,
Afghanistan,AFG,,,2020-05-13,249,,,
Afghanistan,AFG,,,2020-05-14,262,,,
Afghanistan,AFG,,,2020-05-15,253.71429,,,
Afghanistan,AFG,,,2020-05-16,374.85714,,,
Afghanistan,AFG,,,2020-05-17,338.42857,,,
Afghanistan,AFG,,,2020-05-18,323.14286,,,
Afghanistan,AFG,,,2020-05-19,340.71429,,,
Afghanistan,AFG,,,2020-05-20,383.71429,,,
Afghanistan,AFG,,,2020-05-21,417,,,
Afghanistan,AFG,,,2020-05-22,476.71429,,,
Afghanistan,AFG,,,2020-05-23,402,,,
Afghanistan,AFG,,,2020-05-24,513.71429,,,
Afghanistan,AFG,,,2020-05-25,559.71429,,,
Afghanistan,AFG,,,2020-05-26,585.85714,,,
Afghanistan,AFG,,,2020-05-27,596.85714,,,
